ID,SUPPLIER_BUSINESS_ID,CUSTOMER_BUSINESS_ID,SKU_ID,QUANTITY,ORIGIN_SITE_ID,DESTINATION_SITE_ID,OPERATION_ID,ORDER_DATE,SHIP_DATE,EXPECTED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,STATUS,DELAY_DAYS,SHIP_MONTH,SHIP_QUARTER,FISCAL_QUARTER,FISCAL_YEAR,IS_LATE
TSHP02997,B022,B030,SKU004,89,S022,S030,OP038,2023-12-14,2023-12-15,2023-12-17,2023-12-17,DELIVERED,0,12,4,Q4-2023,2023,0
TSHP05960,B006,B008,SKU005,117,S006,S008,OP028,2024-12-04,2024-12-07,2024-12-08,2024-12-07,DELIVERED,0,12,4,Q4-2024,2024,0
TSHP07134,B014,B004,SKU003,183,S014,S004,OP014,2024-05-07,2024-05-09,2024-05-14,2024-05-13,DELIVERED,0,5,2,Q2-2024,2024,0
TSHP01918,B006,B011,SKU005,209,S006,S011,OP031,2022-02-23,2022-02-26,2022-03-01,2022-02-28,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP05697,B006,B008,SKU004,246,S006,S008,OP028,2024-08-12,2024-08-15,2024-08-16,2024-08-16,DELIVERED,0,8,3,Q3-2024,2024,0
TSHP00842,B007,B009,SKU005,163,S007,S009,OP033,2022-01-12,2022-01-14,2022-01-17,2022-01-16,DELIVERED,0,1,1,Q1-2022,2022,0
TSHP02662,B003,B004,SKU003,196,S003,S004,OP011,2023-07-05,2023-07-07,2023-07-09,2023-07-09,DELIVERED,0,7,3,Q3-2023,2023,0
TSHP04290,B005,B025,SKU004,245,S005,S025,OP071,2023-10-29,2023-11-01,2023-11-11,2023-11-16,DELAYED,5,11,4,Q4-2023,2023,1
TSHP04648,B020,B024,SKU001,294,S020,S024,OP015,2023-10-18,2023-10-21,2023-10-23,2023-10-28,DELAYED,5,10,4,Q4-2023,2023,1
TSHP02504,B005,B007,SKU004,160,S005,S007,OP020,2023-01-26,2023-01-28,2023-01-31,2023-01-31,DELIVERED,0,1,1,Q1-2023,2023,0
TSHP02715,B021,B030,SKU005,188,S021,S030,OP036,2023-06-02,2023-06-03,2023-06-05,2023-06-05,DELIVERED,0,6,2,Q2-2023,2023,0
TSHP04821,B006,B010,SKU004,182,S006,S010,OP030,2023-02-23,2023-02-24,2023-02-26,2023-03-05,DELAYED,7,2,1,Q1-2023,2023,1
TSHP02687,B026,B028,SKU004,182,S026,S028,OP024,2023-04-22,2023-04-24,2023-04-26,2023-04-25,DELIVERED,0,4,2,Q2-2023,2023,0
TSHP03940,B026,B028,SKU005,65,S026,S028,OP024,2023-03-07,2023-03-10,2023-03-12,2023-03-11,DELIVERED,0,3,1,Q1-2023,2023,0
TSHP07374,B022,B031,SKU004,68,S022,S031,OP039,2024-07-08,2024-07-10,2024-07-12,2024-07-17,DELAYED,5,7,3,Q3-2024,2024,1
TSHP01752,B004,B026,SKU004,295,S004,S026,OP017,2022-12-12,2022-12-13,2022-12-15,2022-12-14,DELIVERED,0,12,4,Q4-2022,2022,0
TSHP00199,B026,B028,SKU005,278,S026,S028,OP024,2022-07-27,2022-07-30,2022-08-01,2022-07-31,DELIVERED,0,7,3,Q3-2022,2022,0
TSHP02486,B005,B007,SKU004,105,S005,S007,OP020,2022-01-24,2022-01-27,2022-01-30,2022-01-29,DELIVERED,0,1,1,Q1-2022,2022,0
TSHP02889,B006,B009,SKU004,128,S006,S009,OP029,2023-12-01,2023-12-04,2023-12-06,2023-12-06,DELIVERED,0,12,4,Q4-2023,2023,0
TSHP05397,B007,B010,SKU004,75,S007,S010,OP034,2024-12-12,2024-12-14,2024-12-16,2024-12-15,DELIVERED,0,12,4,Q4-2024,2024,0
TSHP01846,B027,B029,SKU005,174,S027,S029,OP027,2022-01-27,2022-01-28,2022-01-29,2022-01-29,DELIVERED,0,1,1,Q1-2022,2022,0
TSHP04737,B025,B023,SKU004,91,S025,S023,OP023,2023-05-04,2023-05-05,2023-05-08,2023-05-07,DELIVERED,0,5,2,Q2-2023,2023,0
TSHP06911,B007,B008,SKU005,66,S007,S008,OP032,2024-07-16,2024-07-17,2024-07-21,2024-07-21,DELIVERED,0,7,3,Q3-2024,2024,0
TSHP06643,B007,B011,SKU005,300,S007,S011,OP035,2024-08-05,2024-08-08,2024-08-09,2024-08-09,DELIVERED,0,8,3,Q3-2024,2024,0
TSHP07445,B027,B029,SKU005,299,S027,S029,OP027,2024-03-31,2024-04-02,2024-04-03,2024-04-02,DELIVERED,0,4,2,Q1-2024,2024,0
TSHP01188,B007,B010,SKU004,140,S007,S010,OP034,2022-06-25,2022-06-28,2022-06-30,2022-06-30,DELIVERED,0,6,2,Q2-2022,2022,0
TSHP00049,B016,B002,SKU007,230,S016,S002,OP003,2022-07-24,2022-07-27,2022-07-28,2022-07-28,DELIVERED,0,7,3,Q3-2022,2022,0
TSHP05778,B017,B014,SKU008,244,S017,S014,OP006,2024-01-21,2024-01-23,2024-01-27,2024-01-27,DELIVERED,0,1,1,Q1-2024,2024,0
TSHP03417,B016,B002,SKU007,98,S016,S002,OP003,2023-11-09,2023-11-12,2023-11-13,2023-11-12,DELIVERED,0,11,4,Q4-2023,2023,0
TSHP03695,B006,B011,SKU005,200,S006,S011,OP031,2023-02-02,2023-02-05,2023-02-08,2023-02-08,DELIVERED,0,2,1,Q1-2023,2023,0
TSHP02369,B007,B009,SKU004,89,S007,S009,OP033,2022-01-03,2022-01-06,2022-01-09,2022-01-10,DELAYED,1,1,1,Q1-2022,2022,1
TSHP03581,B015,B012,SKU006,224,S015,S012,OP002,2023-04-08,2023-04-10,2023-04-13,2023-04-13,DELIVERED,0,4,2,Q2-2023,2023,0
TSHP01913,B026,B028,SKU004,117,S026,S028,OP024,2022-11-01,2022-11-02,2022-11-04,2022-11-04,DELIVERED,0,11,4,Q4-2022,2022,0
TSHP02650,B005,B025,SKU004,236,S005,S025,OP071,2023-11-02,2023-11-05,2023-11-15,2023-11-15,DELIVERED,0,11,4,Q4-2023,2023,0
TSHP06192,B016,B013,SKU007,69,S016,S013,OP004,2024-12-01,2024-12-04,2024-12-06,2024-12-05,DELIVERED,0,12,4,Q4-2024,2024,0
TSHP03593,B005,B006,SKU004,149,S005,S006,OP019,2023-11-14,2023-11-17,2023-11-19,2023-11-18,DELIVERED,0,11,4,Q4-2023,2023,0
TSHP00861,B006,B010,SKU005,204,S006,S010,OP030,2022-05-15,2022-05-16,2022-05-18,2022-05-26,DELAYED,8,5,2,Q2-2022,2022,1
TSHP03194,B006,B009,SKU004,262,S006,S009,OP029,2023-12-08,2023-12-11,2023-12-13,2023-12-13,DELIVERED,0,12,4,Q4-2023,2023,0
TSHP01648,B024,B007,SKU004,238,S024,S007,OP072,2022-04-20,2022-04-23,2022-05-05,2022-05-05,DELIVERED,0,4,2,Q2-2022,2022,0
TSHP01524,B023,B030,SKU004,98,S023,S030,OP040,2022-08-10,2022-08-13,2022-08-16,2022-08-23,DELAYED,7,8,3,Q3-2022,2022,1
TSHP05243,B021,B030,SKU005,57,S021,S030,OP036,2024-03-02,2024-03-05,2024-03-07,2024-03-07,DELIVERED,0,3,1,Q1-2024,2024,0
TSHP01930,B018,B020,SKU006,239,S018,S020,OP007,2022-05-18,2022-05-21,2022-05-23,2022-05-22,DELIVERED,0,5,2,Q2-2022,2022,0
TSHP02013,B003,B006,SKU003,148,S003,S006,OP074,2022-04-02,2022-04-05,2022-04-11,2022-04-20,DELAYED,9,4,2,Q2-2022,2022,1
TSHP02254,B021,B030,SKU004,260,S021,S030,OP036,2022-01-14,2022-01-16,2022-01-18,2022-01-18,DELIVERED,0,1,1,Q1-2022,2022,0
TSHP04885,B023,B030,SKU005,110,S023,S030,OP040,2023-09-21,2023-09-22,2023-09-25,2023-09-25,DELIVERED,0,9,3,Q3-2023,2023,0
TSHP04958,B004,B006,SKU004,201,S004,S006,OP070,2023-06-12,2023-06-14,2023-06-21,2023-06-24,DELAYED,3,6,2,Q2-2023,2023,1
TSHP00876,B006,B011,SKU005,90,S006,S011,OP031,2022-07-15,2022-07-18,2022-07-21,2022-07-20,DELIVERED,0,7,3,Q3-2022,2022,0
TSHP05415,B007,B009,SKU005,147,S007,S009,OP033,2024-06-16,2024-06-19,2024-06-22,2024-06-24,DELAYED,2,6,2,Q2-2024,2024,1
TSHP01580,B022,B030,SKU004,257,S022,S030,OP038,2022-07-16,2022-07-17,2022-07-19,2022-07-18,DELIVERED,0,7,3,Q3-2022,2022,0
TSHP06706,B015,B001,SKU006,113,S015,S001,OP001,2024-02-27,2024-03-01,2024-03-03,2024-03-03,DELIVERED,0,3,1,Q1-2024,2024,0
TSHP07426,B004,B006,SKU004,112,S004,S006,OP070,2024-05-03,2024-05-05,2024-05-12,2024-05-11,DELIVERED,0,5,2,Q2-2024,2024,0
TSHP03371,B015,B001,SKU006,166,S015,S001,OP001,2023-09-17,2023-09-18,2023-09-20,2023-09-20,DELIVERED,0,9,3,Q3-2023,2023,0
TSHP02807,B023,B030,SKU005,137,S023,S030,OP040,2023-01-23,2023-01-26,2023-01-29,2023-01-29,DELIVERED,0,1,1,Q1-2023,2023,0
TSHP06021,B026,B028,SKU005,277,S026,S028,OP024,2024-11-30,2024-12-01,2024-12-03,2024-12-03,DELIVERED,0,12,4,Q4-2024,2024,0
TSHP04845,B026,B029,SKU004,126,S026,S029,OP025,2023-09-27,2023-09-29,2023-10-02,2023-10-01,DELIVERED,0,9,3,Q3-2023,2023,0
TSHP03005,B026,B028,SKU004,176,S026,S028,OP024,2023-08-16,2023-08-19,2023-08-21,2023-08-21,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP06959,B021,B031,SKU004,172,S021,S031,OP037,2024-06-28,2024-07-01,2024-07-04,2024-07-04,DELIVERED,0,7,3,Q2-2024,2024,0
TSHP07174,B007,B009,SKU004,108,S007,S009,OP033,2024-08-23,2024-08-25,2024-08-28,2024-08-30,DELAYED,2,8,3,Q3-2024,2024,1
TSHP05521,B006,B011,SKU004,142,S006,S011,OP031,2024-02-24,2024-02-26,2024-02-29,2024-02-29,DELIVERED,0,2,1,Q1-2024,2024,0
TSHP05828,B007,B008,SKU005,200,S007,S008,OP032,2024-11-01,2024-11-02,2024-11-06,2024-11-14,DELAYED,8,11,4,Q4-2024,2024,1
TSHP02104,B027,B028,SKU005,192,S027,S028,OP026,2022-04-24,2022-04-25,2022-04-27,2022-04-27,DELIVERED,0,4,2,Q2-2022,2022,0
TSHP00320,B025,B023,SKU004,254,S025,S023,OP023,2022-04-22,2022-04-23,2022-04-26,2022-04-26,DELIVERED,0,4,2,Q2-2022,2022,0
TSHP03209,B006,B008,SKU005,238,S006,S008,OP028,2023-04-29,2023-04-30,2023-05-01,2023-04-30,DELIVERED,0,4,2,Q2-2023,2023,0
TSHP02358,B006,B008,SKU005,105,S006,S008,OP028,2022-02-15,2022-02-16,2022-02-17,2022-02-21,DELAYED,4,2,1,Q1-2022,2022,1
TSHP00078,B006,B008,SKU004,69,S006,S008,OP028,2022-08-26,2022-08-27,2022-08-28,2022-08-27,DELIVERED,0,8,3,Q3-2022,2022,0
TSHP04338,B021,B031,SKU005,279,S021,S031,OP037,2023-03-04,2023-03-07,2023-03-10,2023-03-10,DELIVERED,0,3,1,Q1-2023,2023,0
TSHP03275,B007,B010,SKU004,215,S007,S010,OP034,2023-02-20,2023-02-23,2023-02-25,2023-02-25,DELIVERED,0,2,1,Q1-2023,2023,0
TSHP01256,B022,B012,SKU009,98,S022,S012,OP075,2022-02-24,2022-02-26,2022-03-07,2022-03-08,DELAYED,1,2,1,Q1-2022,2022,1
TSHP03991,B017,B003,SKU008,133,S017,S003,OP005,2023-03-21,2023-03-22,2023-03-23,2023-03-23,DELIVERED,0,3,1,Q1-2023,2023,0
TSHP02485,B027,B029,SKU004,171,S027,S029,OP027,2022-10-18,2022-10-20,2022-10-21,2022-10-21,DELIVERED,0,10,4,Q4-2022,2022,0
TSHP07267,B020,B025,SKU001,292,S020,S025,OP016,2024-12-12,2024-12-13,2024-12-16,2024-12-17,DELAYED,1,12,4,Q4-2024,2024,1
TSHP02212,B026,B029,SKU005,206,S026,S029,OP025,2022-01-08,2022-01-09,2022-01-12,2022-01-16,DELAYED,4,1,1,Q1-2022,2022,1
TSHP01261,B022,B030,SKU004,252,S022,S030,OP038,2022-05-12,2022-05-15,2022-05-17,2022-05-16,DELIVERED,0,5,2,Q2-2022,2022,0
TSHP00492,B003,B006,SKU003,260,S003,S006,OP074,2022-12-04,2022-12-06,2022-12-12,2022-12-14,DELAYED,2,12,4,Q4-2022,2022,1
TSHP03010,B007,B010,SKU004,217,S007,S010,OP034,2023-04-14,2023-04-15,2023-04-17,2023-04-17,DELIVERED,0,4,2,Q2-2023,2023,0
TSHP07148,B023,B031,SKU004,192,S023,S031,OP041,2024-05-13,2024-05-16,2024-05-19,2024-05-18,DELIVERED,0,5,2,Q2-2024,2024,0
TSHP01655,B015,B012,SKU006,74,S015,S012,OP002,2022-07-01,2022-07-04,2022-07-07,2022-07-06,DELIVERED,0,7,3,Q3-2022,2022,0
TSHP02797,B012,B004,SKU001,269,S012,S004,OP012,2023-05-05,2023-05-06,2023-05-10,2023-05-10,DELIVERED,0,5,2,Q2-2023,2023,0
TSHP02462,B022,B031,SKU004,62,S022,S031,OP039,2022-02-28,2022-03-01,2022-03-03,2022-03-03,DELIVERED,0,3,1,Q1-2022,2022,0
TSHP05319,B027,B028,SKU004,270,S027,S028,OP026,2024-10-03,2024-10-05,2024-10-07,2024-10-14,DELAYED,7,10,4,Q4-2024,2024,1
TSHP03988,B006,B011,SKU005,223,S006,S011,OP031,2023-09-26,2023-09-27,2023-09-30,2023-10-04,DELAYED,4,9,3,Q3-2023,2023,1
TSHP04879,B022,B031,SKU005,116,S022,S031,OP039,2023-03-04,2023-03-06,2023-03-08,2023-03-13,DELAYED,5,3,1,Q1-2023,2023,1
TSHP00192,B027,B029,SKU005,280,S027,S029,OP027,2022-02-15,2022-02-17,2022-02-18,2022-02-17,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP03357,B007,B011,SKU004,96,S007,S011,OP035,2023-06-14,2023-06-16,2023-06-17,2023-06-17,DELIVERED,0,6,2,Q2-2023,2023,0
TSHP06534,B022,B030,SKU004,293,S022,S030,OP038,2024-08-14,2024-08-17,2024-08-19,2024-08-19,DELIVERED,0,8,3,Q3-2024,2024,0
TSHP07112,B020,B024,SKU001,53,S020,S024,OP015,2024-10-18,2024-10-20,2024-10-22,2024-10-31,DELAYED,9,10,4,Q4-2024,2024,1
TSHP01854,B004,B006,SKU004,89,S004,S006,OP070,2022-09-24,2022-09-26,2022-10-03,2022-10-03,DELIVERED,0,9,3,Q3-2022,2022,0
TSHP02263,B002,B004,SKU002,221,S002,S004,OP010,2022-06-23,2022-06-25,2022-06-27,2022-06-27,DELIVERED,0,6,2,Q2-2022,2022,0
TSHP03037,B007,B010,SKU004,136,S007,S010,OP034,2023-07-21,2023-07-24,2023-07-26,2023-07-30,DELAYED,4,7,3,Q3-2023,2023,1
TSHP00650,B004,B026,SKU004,133,S004,S026,OP017,2022-07-25,2022-07-27,2022-07-29,2022-07-31,DELAYED,2,7,3,Q3-2022,2022,1
TSHP06092,B024,B007,SKU004,59,S024,S007,OP072,2024-03-18,2024-03-21,2024-04-02,2024-04-04,DELAYED,2,3,1,Q1-2024,2024,1
TSHP02178,B014,B004,SKU003,244,S014,S004,OP014,2022-01-15,2022-01-16,2022-01-21,2022-01-21,DELIVERED,0,1,1,Q1-2022,2022,0
TSHP01021,B022,B030,SKU004,237,S022,S030,OP038,2022-09-02,2022-09-05,2022-09-07,2022-09-07,DELIVERED,0,9,3,Q3-2022,2022,0
TSHP00108,B027,B028,SKU005,145,S027,S028,OP026,2022-09-22,2022-09-23,2022-09-25,2022-09-25,DELIVERED,0,9,3,Q3-2022,2022,0
TSHP04500,B027,B029,SKU005,186,S027,S029,OP027,2023-03-23,2023-03-25,2023-03-26,2023-03-31,DELAYED,5,3,1,Q1-2023,2023,1
TSHP06871,B022,B030,SKU005,153,S022,S030,OP038,2024-01-14,2024-01-16,2024-01-18,2024-01-18,DELIVERED,0,1,1,Q1-2024,2024,0
TSHP06945,B016,B013,SKU007,279,S016,S013,OP004,2024-08-13,2024-08-16,2024-08-18,2024-08-18,DELIVERED,0,8,3,Q3-2024,2024,0
TSHP06166,B023,B030,SKU005,293,S023,S030,OP040,2024-08-14,2024-08-15,2024-08-18,2024-08-17,DELIVERED,0,8,3,Q3-2024,2024,0
TSHP03019,B004,B006,SKU004,142,S004,S006,OP070,2023-04-28,2023-04-29,2023-05-06,2023-05-05,DELIVERED,0,4,2,Q2-2023,2023,0
TSHP03817,B015,B001,SKU006,108,S015,S001,OP001,2023-08-11,2023-08-14,2023-08-16,2023-08-15,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP06793,B022,B031,SKU004,289,S022,S031,OP039,2024-03-21,2024-03-24,2024-03-26,2024-03-25,DELIVERED,0,3,1,Q1-2024,2024,0
TSHP00997,B007,B009,SKU005,111,S007,S009,OP033,2022-07-10,2022-07-13,2022-07-16,2022-07-16,DELIVERED,0,7,3,Q3-2022,2022,0
TSHP03798,B027,B028,SKU005,296,S027,S028,OP026,2023-07-04,2023-07-07,2023-07-09,2023-07-19,DELAYED,10,7,3,Q3-2023,2023,1
TSHP04884,B004,B026,SKU004,195,S004,S026,OP017,2023-07-09,2023-07-12,2023-07-14,2023-07-14,DELIVERED,0,7,3,Q3-2023,2023,0
TSHP04666,B002,B004,SKU002,163,S002,S004,OP010,2023-11-20,2023-11-21,2023-11-23,2023-11-27,DELAYED,4,11,4,Q4-2023,2023,1
TSHP01786,B026,B028,SKU005,192,S026,S028,OP024,2022-10-20,2022-10-22,2022-10-24,2022-10-28,DELAYED,4,10,4,Q4-2022,2022,1
TSHP05627,B001,B004,SKU001,95,S001,S004,OP009,2024-10-15,2024-10-18,2024-10-21,2024-10-20,DELIVERED,0,10,4,Q4-2024,2024,0
TSHP04100,B026,B028,SKU004,242,S026,S028,OP024,2023-04-30,2023-05-03,2023-05-05,2023-05-04,DELIVERED,0,5,2,Q2-2023,2023,0
TSHP01344,B019,B020,SKU007,130,S019,S020,OP008,2022-06-03,2022-06-04,2022-06-05,2022-06-05,DELIVERED,0,6,2,Q2-2022,2022,0
TSHP03109,B027,B029,SKU005,109,S027,S029,OP027,2023-01-19,2023-01-21,2023-01-22,2023-01-27,DELAYED,5,1,1,Q1-2023,2023,1
TSHP05284,B016,B013,SKU007,265,S016,S013,OP004,2024-11-02,2024-11-04,2024-11-06,2024-11-06,DELIVERED,0,11,4,Q4-2024,2024,0
TSHP00312,B003,B006,SKU003,236,S003,S006,OP074,2022-04-09,2022-04-11,2022-04-17,2022-04-25,DELAYED,8,4,2,Q2-2022,2022,1
TSHP05079,B023,B030,SKU004,160,S023,S030,OP040,2024-12-10,2024-12-13,2024-12-16,2024-12-25,DELAYED,9,12,4,Q4-2024,2024,1
TSHP03664,B022,B012,SKU009,89,S022,S012,OP075,2023-07-08,2023-07-10,2023-07-19,2023-07-19,DELIVERED,0,7,3,Q3-2023,2023,0
TSHP03485,B022,B012,SKU009,110,S022,S012,OP075,2023-07-26,2023-07-28,2023-08-06,2023-08-10,DELAYED,4,7,3,Q3-2023,2023,1
TSHP00202,B021,B031,SKU004,104,S021,S031,OP037,2022-06-27,2022-06-30,2022-07-03,2022-07-02,DELIVERED,0,6,2,Q2-2022,2022,0
TSHP07203,B020,B025,SKU001,299,S020,S025,OP016,2024-03-09,2024-03-10,2024-03-13,2024-03-16,DELAYED,3,3,1,Q1-2024,2024,1
TSHP04251,B001,B004,SKU001,199,S001,S004,OP009,2023-09-19,2023-09-21,2023-09-24,2023-09-23,DELIVERED,0,9,3,Q3-2023,2023,0
TSHP01353,B025,B023,SKU004,110,S025,S023,OP023,2022-10-07,2022-10-10,2022-10-13,2022-10-13,DELIVERED,0,10,4,Q4-2022,2022,0
TSHP03034,B006,B011,SKU004,263,S006,S011,OP031,2023-04-12,2023-04-13,2023-04-16,2023-04-20,DELAYED,4,4,2,Q2-2023,2023,1
TSHP02521,B006,B011,SKU005,64,S006,S011,OP031,2023-08-04,2023-08-05,2023-08-08,2023-08-08,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP05840,B026,B028,SKU005,254,S026,S028,OP024,2024-08-07,2024-08-10,2024-08-12,2024-08-12,DELIVERED,0,8,3,Q3-2024,2024,0
TSHP02395,B026,B028,SKU005,300,S026,S028,OP024,2022-06-23,2022-06-25,2022-06-27,2022-07-07,DELAYED,10,6,2,Q2-2022,2022,1
TSHP00533,B022,B031,SKU004,110,S022,S031,OP039,2022-05-26,2022-05-27,2022-05-29,2022-05-28,DELIVERED,0,5,2,Q2-2022,2022,0
TSHP05389,B007,B010,SKU005,58,S007,S010,OP034,2024-10-14,2024-10-15,2024-10-17,2024-10-23,DELAYED,6,10,4,Q4-2024,2024,1
TSHP04357,B004,B006,SKU004,103,S004,S006,OP070,2023-05-03,2023-05-04,2023-05-11,2023-05-21,DELAYED,10,5,2,Q2-2023,2023,1
TSHP04279,B005,B006,SKU004,84,S005,S006,OP019,2023-07-25,2023-07-27,2023-07-29,2023-07-29,DELIVERED,0,7,3,Q3-2023,2023,0
TSHP06438,B021,B031,SKU005,106,S021,S031,OP037,2024-11-04,2024-11-06,2024-11-09,2024-11-09,DELIVERED,0,11,4,Q4-2024,2024,0
TSHP04526,B004,B026,SKU004,294,S004,S026,OP017,2023-09-15,2023-09-16,2023-09-18,2023-09-27,DELAYED,9,9,3,Q3-2023,2023,1
TSHP04039,B007,B010,SKU004,103,S007,S010,OP034,2023-01-13,2023-01-16,2023-01-18,2023-01-18,DELIVERED,0,1,1,Q1-2023,2023,0
TSHP02537,B024,B007,SKU004,209,S024,S007,OP072,2023-12-16,2023-12-17,2023-12-29,2024-01-04,DELAYED,6,12,4,Q4-2023,2023,1
TSHP03883,B005,B007,SKU004,256,S005,S007,OP020,2023-11-05,2023-11-06,2023-11-09,2023-11-08,DELIVERED,0,11,4,Q4-2023,2023,0
TSHP04789,B024,B022,SKU004,73,S024,S022,OP022,2023-08-05,2023-08-07,2023-08-09,2023-08-13,DELAYED,4,8,3,Q3-2023,2023,1
TSHP01703,B017,B003,SKU008,114,S017,S003,OP005,2022-12-11,2022-12-12,2022-12-13,2022-12-23,DELAYED,10,12,4,Q4-2022,2022,1
TSHP06867,B006,B010,SKU005,130,S006,S010,OP030,2024-11-02,2024-11-05,2024-11-07,2024-11-07,DELIVERED,0,11,4,Q4-2024,2024,0
TSHP00540,B001,B004,SKU001,66,S001,S004,OP009,2022-04-15,2022-04-18,2022-04-21,2022-04-20,DELIVERED,0,4,2,Q2-2022,2022,0
TSHP03128,B006,B011,SKU005,181,S006,S011,OP031,2023-04-02,2023-04-03,2023-04-06,2023-04-05,DELIVERED,0,4,2,Q2-2023,2023,0
TSHP01187,B024,B007,SKU004,202,S024,S007,OP072,2022-05-28,2022-05-29,2022-06-10,2022-06-11,DELAYED,1,5,2,Q2-2022,2022,1
TSHP06476,B023,B031,SKU004,152,S023,S031,OP041,2024-11-14,2024-11-17,2024-11-20,2024-11-20,DELIVERED,0,11,4,Q4-2024,2024,0
TSHP03419,B007,B008,SKU004,98,S007,S008,OP032,2023-11-25,2023-11-28,2023-12-02,2023-12-01,DELIVERED,0,11,4,Q4-2023,2023,0
TSHP04805,B016,B013,SKU007,97,S016,S013,OP004,2023-08-27,2023-08-29,2023-08-31,2023-08-31,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP01139,B020,B024,SKU001,112,S020,S024,OP015,2022-02-18,2022-02-21,2022-02-23,2022-02-22,DELIVERED,0,2,1,Q1-2022,2022,0
TSHP02639,B019,B020,SKU007,123,S019,S020,OP008,2023-01-08,2023-01-10,2023-01-11,2023-01-11,DELIVERED,0,1,1,Q1-2023,2023,0
TSHP03347,B019,B020,SKU007,53,S019,S020,OP008,2023-02-06,2023-02-07,2023-02-08,2023-02-08,DELIVERED,0,2,1,Q1-2023,2023,0
TSHP06597,B007,B009,SKU004,80,S007,S009,OP033,2024-12-15,2024-12-17,2024-12-20,2024-12-19,DELIVERED,0,12,4,Q4-2024,2024,0
TSHP07239,B006,B008,SKU004,126,S006,S008,OP028,2024-05-01,2024-05-02,2024-05-03,2024-05-03,DELIVERED,0,5,2,Q2-2024,2024,0
TSHP02933,B026,B029,SKU005,274,S026,S029,OP025,2023-03-21,2023-03-24,2023-03-27,2023-03-27,DELIVERED,0,3,1,Q1-2023,2023,0
TSHP00150,B019,B020,SKU007,211,S019,S020,OP008,2022-07-30,2022-08-01,2022-08-02,2022-08-02,DELIVERED,0,8,3,Q3-2022,2022,0
TSHP07026,B026,B029,SKU004,248,S026,S029,OP025,2024-09-14,2024-09-16,2024-09-19,2024-09-19,DELIVERED,0,9,3,Q3-2024,2024,0
TSHP03324,B016,B002,SKU007,157,S016,S002,OP003,2023-09-06,2023-09-07,2023-09-08,2023-09-18,DELAYED,10,9,3,Q3-2023,2023,1
TSHP02768,B007,B009,SKU005,67,S007,S009,OP033,2023-08-03,2023-08-06,2023-08-09,2023-08-09,DELIVERED,0,8,3,Q3-2023,2023,0
TSHP00336,B006,B010,SKU004,181,S006,S010,OP030,2022-06-20,2022-06-21,2022-06-23,2022-07-03,DELAYED,10,6,2,Q2-2022,2022,1
TSHP00208,B015,B001,SKU006,102,S015,S001,OP001,2022-06-29,2022-07-02,2022-07-04,2022-07-12,DELAYED,8,7,3,Q2-2022,2022,1
TSHP06588,B024,B007,SKU004,71,S024,S007,OP072,2024-04-12,2024-04-13,2024-04-25,2024-05-03,DELAYED,8,4,2,Q2-2024,2024,1
TSHP07271,B022,B031,SKU004,154,S022,S031,OP039,2024-06-12,2024-06-13,2024-06-15,2024-06-18,DELAYED,3,6,2,Q2-2024,2024,1
TSHP04001,B006,B009,SKU005,180,S006,S009,OP029,2023-08-31,2023-09-03,2023-09-05,2023-09-09,DELAYED,4,9,3,Q3-2023,2023,1
TSHP06011,B026,B028,SKU004,223,S026,S028,OP024,2024-02-16,2024-02-18,2024-02-20,2024-02-23,DELAYED,3,2,1,Q1-2024,2024,1
TSHP03803,B021,B031,SKU005,78,S021,S031,OP037,2023-12-05,2023-12-08,2023-12-11,2023-12-10,DELIVERED,0,12,4,Q4-2023,2023,0
TSHP03203,B005,B006,SKU004,69,S005,S006,OP019,2023-01-06,2023-01-09,2023-01-11,2023-01-19,DELAYED,8,1,1,Q1-2023,2023,1
TSHP00456,B006,B011,SKU005,296,S006,S011,OP031,2022-10-17,2022-10-20,2022-10-23,2022-10-26,DELAYED,3,10,4,Q4-2022,2022,1
TSHP07227,B004,B026,SKU004,56,S004,S026,OP017,2024-05-30,2024-06-02,2024-06-04,2024-06-04,DELIVERED,0,6,2,Q2-2024,2024,0
TSHP03688,B021,B030,SKU004,171,S021,S030,OP036,2023-07-21,2023-07-23,2023-07-25,2023-07-24,DELIVERED,0,7,3,Q3-2023,2023,0
TSHP03819,B022,B030,SKU005,193,S022,S030,OP038,2023-03-11,2023-03-13,2023-03-15,2023-03-15,DELIVERED,0,3,1,Q1-2023,2023,0
TSHP06734,B021,B031,SKU005,172,S021,S031,OP037,2024-11-02,2024-11-03,2024-11-06,2024-11-06,DELIVERED,0,11,4,Q4-2024,2024,0
TSHP00566,B022,B012,SKU009,217,S022,S012,OP075,2022-06-01,2022-06-03,2022-06-12,2022-06-12,DELIVERED,0,6,2,Q2-2022,2022,0
TSHP05774,B005,B006,SKU004,282,S005,S006,OP019,2024-06-09,2024-06-12,2024-06-14,2024-06-14,DELIVERED,0,6,2,Q2-2024,2024,0
